WKT,id,nom_ets,adresse,commune,lib_regime,url_fiche,lib_seveso
"POINT (6.0235971954965 47.2569075125429)","10174",Etablissement  GAULARD,rue du Piémont,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904322,
"POINT (6.0235971954965 47.2569075125429)","10175",GARAGE STEVE AUTO SERVICE,Rue Edouard belin,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904381,
"POINT (5.99932078377186 47.2069878538049)","10176",THEVENIN DUCROT/STATION AVIA,25 route de Lyon,BEURE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904397,
"POINT (6.20658819029387 47.4449312519438)","10177",UGECAM,,LOULANS VERCHAMP,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904455,
"POINT (6.0833248204731 47.2851642891284)","10178",VF CONFORT,13 rue des Bruyères,THISE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904590,
"POINT (6.10970965178197 47.2812254781855)","10179",FSH Welding,22 rue de la fonderie,ROCHE LEZ BEAUPRE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904596,
"POINT (6.0235971954965 47.2569075125429)","10180",Etablissement A. GAULARD,1 route de lyon,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904840,
"POINT (6.0235971954965 47.2569075125429)","10181",GARAGE TKZ,18 rue de la Famille,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905400,
"POINT (6.0235971954965 47.2569075125429)","10182",GARAGE @ MAX,9 avenue Foch,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905575,
"POINT (6.0235971954965 47.2569075125429)","10183",CRYLA,89 rue Fontaine Ecu,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905619,
"POINT (6.0235971954965 47.2569075125429)","10184",Parc animalier de Chailluz,Parc de Chailluz,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500095,
"POINT (6.03745841582939 47.3389511137065)","10185",GAEC DE CHAMPE,CHAMPE,BONNAY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500112,
